Catalog Number,Product Name,Product Type,Channel,Species Name,Gene Symbol,Gene Name,Accession,Probe Pairs,Probe Region Begin,Probe Region End
310218,RNAscope® LS 2.5 Probe - Hs-CK18,RNAscope LS 2.5 Target Probes,1,Homo sapiens,KRT18,keratin 18,NM_000224.2,19,322,1232
310228,RNAscope® LS 2.5 Probe - Hs-CK19,RNAscope LS 2.5 Target Probes,1,Homo sapiens,KRT19,keratin 19,NM_002276,15,656,1401
310238,RNAscope® LS 2.5 Probe - Hs-KRT2,RNAscope LS 2.5 Target Probes,1,Homo sapiens,KRT2,keratin 2,,,,
310248,RNAscope® LS 2.5 Probe - Hs-KRT5,RNAscope LS 2.5 Target Probes,1,Homo sapiens,KRT5,keratin 5,NM_000424.3,15,78,2053
310258,RNAscope® LS 2.5 Probe - Hs-CK6A,RNAscope LS 2.5 Target Probes,1,Homo sapiens,KRT6A,keratin 6A,NM_005554,20,463,1741
310268,RNAscope® LS 2.5 Probe - Hs-CK8,RNAscope LS 2.5 Target Probes,1,Homo sapiens,KRT8,keratin 8,NM_002273,17,279,1171
310278,RNAscope® 2.5 LS Probe - V-EBER1,RNAscope LS 2.5 Target Probes,1,Virus unclassified,EBER1,EBER1,KP195701.1,2,39,120
310288,RNAscope® LS 2.5 Probe - Hs-EPCAM,RNAscope LS 2.5 Target Probes,1,Homo sapiens,EPCAM,epithelial cell adhesion molecule,NM_002354,20,64,1268
310298,RNAscope® LS 2.5 Probe - Hs-ERCC1,RNAscope LS 2.5 Target Probes,1,Homo sapiens,ERCC1,"ERCC excision repair 1, endonuclease non-catalytic subunit",NM_001166049.1,20,52,1365
310308,RNAscope® LS 2.5 Probe - Hs-ESR1,RNAscope LS 2.5 Target Probes,1,Homo sapiens,ESR1,estrogen receptor 1,NM_000125.3,20,1251,2376
310318,RNAscope® LS 2.5 Probe - Hs-FN1,RNAscope LS 2.5 Target Probes,1,Homo sapiens,FN1,fibronectin 1,NM_212482,20,1118,2101
310328,RNAscope® LS 2.5 Probe - Hs-GAPDH,RNAscope LS 2.5 Target Probes,1,Homo sapiens,GAPDH,glyceraldehyde-3-phosphate dehydrogenase,NM_002046,20,20,1087
310338,RNAscope® LS 2.5 Probe - Hs-GRB7,RNAscope LS 2.5 Target Probes,1,Homo sapiens,GRB7,growth factor receptor bound protein 7,NM_005310,20,564,1850
310348,RNAscope® LS 2.5 Probe - Hs-HPRT1,RNAscope LS 2.5 Controls-Automated,1,Homo sapiens,HPRT1,hypoxanthine phosphoribosyltransferase 1,NM_000194.2,17,37,1275
310358,RNAscope® LS 2.5 Probe - Hs-IGFBP3,RNAscope LS 2.5 Target Probes,1,Homo sapiens,IGFBP3,insulin like growth factor binding protein 3,NM_000598.4,29,37,2409
310368,RNAscope® LS 2.5 Probe - Hs-IL1B,RNAscope LS 2.5 Target Probes,1,Homo sapiens,IL1B,interleukin 1 beta,NM_000576,20,2,1319
310378,RNAscope® LS 2.5 Probe - Hs-IL6,RNAscope LS 2.5 Target Probes,1,Homo sapiens,IL6,interleukin 6,NM_000600.3,19,27,1112
310388,RNAscope® LS 2.5 Probe - Hs-IL8,RNAscope LS 2.5 Target Probes,1,Homo sapiens,CXCL8,C-X-C motif chemokine ligand 8,NM_000584.3,20,2,1082
310398,RNAscope® LS 2.5 Probe - Hs-MUC1,RNAscope LS 2.5 Target Probes,1,Homo sapiens,MUC1,"mucin 1, cell surface associated",NM_002456.5,20,4,1166
310408,RNAscope® LS 2.5 Probe - Hs-PGK1,RNAscope LS 2.5 Target Probes,1,Homo sapiens,PGK1,phosphoglycerate kinase 1,NM_000291,20,958,2233
310418,RNAscope® LS 2.5 Probe - Hs-RRM1,RNAscope LS 2.5 Target Probes,1,Homo sapiens,RRM1,ribonucleotide reductase catalytic subunit M1,NM_001033.3,20,1281,2233
310428,RNAscope® LS 2.5 Probe - Hs-TNF-a,RNAscope LS 2.5 Target Probes,1,Homo sapiens,TNF,tumor necrosis factor,NM_000594.3,20,70,1456
310438,RNAscope® LS 2.5 Probe - Hs-TWIST,RNAscope LS 2.5 Target Probes,1,Homo sapiens,TWIST1,twist family bHLH transcription factor 1,NM_000474.3,21,25,1635
310448,RNAscope® LS 2.5 Probe - Hs-VIM,RNAscope LS 2.5 Target Probes,1,Homo sapiens,VIM,vimentin,NM_003380.3,20,1025,1928
310458,RNAscope® 2.5 LS Probe - Hs-POLR2A,RNAscope LS 2.5 Controls-Automated,1,Homo sapiens,POLR2A,polymerase (RNA) II subunit A,NM_000937.4,20,2514,3433
310468,RNAscope® LS 2.5 Probe - Hs-LTA,RNAscope LS 2.5 Target Probes,1,Homo sapiens,LTA,lymphotoxin alpha,NM_000595.3,20,179,1381
310478,RNAscope® LS 2.5 Probe - Hs-LTB,RNAscope LS 2.5 Target Probes,1,Homo sapiens,LTB,lymphotoxin beta,NM_002341,14,23,849
310488,RNAscope® LS 2.5 Probe - Mm-FGFR1B,RNAscope LS 2.5 Target Probes,1,,,,,,,
310498,RNAscope® LS 2.5 Probe - Mm-FGFR1C,RNAscope LS 2.5 Target Probes,1,,,,,,,
310508,RNAscope® LS 2.5 Probe - Hs-IFNG,RNAscope LS 2.5 Target Probes,1,Homo sapiens,IFNG,interferon gamma,NM_000619.2,20,80,1152
310518,RNAscope® LS 2.5 Probe - Hs-CXCR4,RNAscope LS 2.5 Target Probes,1,Homo sapiens,CXCR4,C-X-C motif chemokine receptor 4,NM_001008540.1,20,758,1793
310528,RNAscope® LS 2.5 Probe - Mm-Lrig1,RNAscope LS 2.5 Target Probes,1,Mus musculus,Lrig1,leucine-rich repeats and immunoglobulin-like domains 1,NM_008377.2,20,1844,2761
310538,RNAscope® LS 2.5 Probe - Mm-Lrig2,RNAscope LS 2.5 Target Probes,1,Mus musculus,Lrig2,leucine-rich repeats and immunoglobulin-like domains 2,NM_001025067.1,20,2874,3815
310548,RNAscope® LS 2.5 Probe - Mm-Lrig3,RNAscope LS 2.5 Target Probes,1,Mus musculus,Lrig3,leucine-rich repeats and immunoglobulin-like domains 3,NM_177152.5,20,2593,3535
310568,RNAscope® LS 2.5 Probe - Hs-SERT,RNAscope LS 2.5 Target Probes,1,Homo sapiens,SLC6A4,solute carrier family 6 member 4,NM_001045.5,20,2991,3981
310578,RNAscope® LS 2.5 Probe - Hs-SSTR2,RNAscope LS 2.5 Target Probes,1,Homo sapiens,SSTR2,somatostatin receptor 2,NM_001050.2,20,234,1275
310588,RNAscope® LS 2.5 Probe - Hs-SSTR1,RNAscope LS 2.5 Target Probes,1,Homo sapiens,SSTR1,somatostatin receptor 1,NM_001049.2,20,2793,3419
310598,RNAscope® LS 2.5 Probe - Hs-SST,RNAscope LS 2.5 Target Probes,1,Homo sapiens,SST,somatostatin,NM_001048.3,12,13,621
310608,RNAscope® LS 2.5 Probe - Hs-GUCY2C,RNAscope LS 2.5 Target Probes,1,Homo sapiens,GUCY2C,guanylate cyclase 2C,NM_004963.3,20,188,1104
310618,RNAscope® LS 2.5 Probe - Hs-GUCY2B,RNAscope LS 2.5 Target Probes,1,Homo sapiens,GUCA2B,guanylate cyclase activator 2B,NM_007102,8,88,492
310628,RNAscope® LS 2.5 Probe - Hs-GUCY2A,RNAscope LS 2.5 Target Probes,1,Homo sapiens,GUCA2A,guanylate cyclase activator 2A,NM_033553,10,12,507
310638,RNAscope® LS 2.5 Probe - Hs-MTNR1A,RNAscope LS 2.5 Target Probes,1,Homo sapiens,MTNR1A,melatonin receptor 1A,NM_005958.3,18,181,1047
310648,RNAscope® LS 2.5 Probe - Hs-HIOMT,RNAscope LS 2.5 Target Probes,1,Homo sapiens,ASMT,acetylserotonin O-methyltransferase,NM_004043.2,20,298,1259
310658,RNAscope® LS 2.5 Probe - Hs-HTR4,RNAscope LS 2.5 Target Probes,1,Homo sapiens,HTR4,5-hydroxytryptamine receptor 4,NM_001040174,20,336,1453
310668,RNAscope® LS 2.5 Probe - Hs-HTR3C,RNAscope LS 2.5 Target Probes,1,Homo sapiens,HTR3C,5-hydroxytryptamine receptor 3C,NM_130770,20,2,1536
310678,RNAscope® LS 2.5 Probe - Hs-HTR3B,RNAscope LS 2.5 Target Probes,1,Homo sapiens,HTR3B,5-hydroxytryptamine receptor 3B,NM_006028,20,123,1091
310688,RNAscope® LS 2.5 Probe - Hs-HTR3A,RNAscope LS 2.5 Target Probes,1,Homo sapiens,HTR3A,5-hydroxytryptamine receptor 3A,NM_213621.3,20,407,1486
310698,RNAscope® LS 2.5 Probe - Hs-TPH1,RNAscope LS 2.5 Target Probes,1,Homo sapiens,TPH1,tryptophan hydroxylase 1,NM_004179.2,20,424,1424
310708,RNAscope® LS 2.5 Probe - Hs-TACR1,RNAscope LS 2.5 Target Probes,1,Homo sapiens,TACR1,tachykinin receptor 1,NM_001058.3,20,3467,4448
310718,RNAscope® LS 2.5 Probe - TAC1,RNAscope LS 2.5 Target Probes,1,Homo sapiens,TAC1,tachykinin precursor 1,NM_003182.2,20,93,1138
310728,RNAscope® LS 2.5 Probe - Hs-DR5,RNAscope LS 2.5 Target Probes,1,Homo sapiens,TNFRSF10B,tumor necrosis factor receptor superfamily member 10b,NM_147187.2,20,424,1792
310738,RNAscope® LS 2.5 Probe - Mm-Serpinf1,RNAscope LS 2.5 Target Probes,1,Mus musculus,Serpinf1,"serine (or cysteine) peptidase inhibitor, clade F, member 1",NM_011340.3,20,30,1168
310768,RNAscope® LS 2.5 Probe - Hs-HGF,RNAscope LS 2.5 Target Probes,1,Homo sapiens,HGF,hepatocyte growth factor,NM_000601.4,20,26,1108
310778,RNAscope® 2.5 LS Probe - Mm-UBC,RNAscope LS 2.5 Controls-Automated,1,Mus musculus,Ubc,ubiquitin C,NM_019639.4,20,34,860
310788,RNAscope® LS 2.5 Probe - Mm-Irs-2,RNAscope LS 2.5 Target Probes,1,Mus musculus,Irs2,insulin receptor substrate 2,NM_001081212.1,20,1715,2987
310798,RNAscope® LS 2.5 Probe - Hs-FGFR3,RNAscope LS 2.5 Target Probes,1,Homo sapiens,FGFR3,fibroblast growth factor receptor 3,NM_000142.4,28,536,3245
310808,RNAscope® LS 2.5 Probe - Hs-FN14,RNAscope LS 2.5 Target Probes,1,Homo sapiens,TNFRSF12A,tumor necrosis factor receptor superfamily member 12A,NM_016639.2,17,57,999
310818,RNAscope® LS 2.5 Probe - Hs-CSF1R,RNAscope LS 2.5 Target Probes,1,Homo sapiens,CSF1R,colony stimulating factor 1 receptor,NM_005211.3,30,325,2306
310828,RNAscope® LS 2.5 Probe - CSF1R (5'UTRvar),RNAscope LS 2.5 Target Probes,1,,,,,,,
310838,RNAscope® LS 2.5 Probe - Hs-CD30,RNAscope LS 2.5 Target Probes,1,Homo sapiens,TNFRSF8,tumor necrosis factor receptor superfamily member 8,NM_152942.2,20,835,2165
310848,RNAscope® LS 2.5 Probe -CD30 - fluorescent,RNAscope LS 2.5 Target Probes,1,,,,,,,
310858,RNAscope® LS 2.5 Probe -r-VGlut1,RNAscope LS 2.5 Target Probes,1,,,,,,,
310868,RNAscope® LS 2.5 Probe -r-Gad67,RNAscope LS 2.5 Target Probes,1,,,,,,,
310878,RNAscope® LS 2.5 Probe -r-Nrg1-t1,RNAscope LS 2.5 Target Probes,1,,,,,,,
310888,RNAscope® LS 2.5 Probe -r-Nrg1-t2,RNAscope LS 2.5 Target Probes,1,,,,,,,
310898,RNAscope® LS 2.5 Probe - r-Nrg1-t3,RNAscope LS 2.5 Target Probes,1,,,,,,,
310908,RNAscope® LS 2.5 Probe - Cl-Hprt1,RNAscope LS 2.5 Target Probes,1,,,,,,,
310928,RNAscope® LS 2.5 Probe -c-Pgk1,RNAscope LS 2.5 Target Probes,1,,,,,,,
310938,RNAscope® LS 2.5 Probe - Hs-IL17A,RNAscope LS 2.5 Target Probes,1,Homo sapiens,IL17A,interleukin 17A,NM_002190.2,19,23,1102
310948,RNAscope® LS 2.5 Probe - Hs-IL17F,RNAscope LS 2.5 Target Probes,1,Homo sapiens,IL17F,interleukin 17F,NM_052872.3,13,34,715
310958,RNAscope® LS 2.5 Probe - Hs-MITF,RNAscope LS 2.5 Target Probes,1,Homo sapiens,MITF,melanogenesis associated transcription factor,NM_001184967,20,582,1502
310968,RNAscope® LS 2.5 Probe - Hs-S100A,RNAscope LS 2.5 Target Probes,1,Homo sapiens,,neuroacanthocytosis,,,,
310988,RNAscope® 2.5 LS Probe - Cl-Polr2a,RNAscope LS 2.5 Controls-Automated,1,,,,,,,
310998,RNAscope® LS 2.5 Probe - Hs-GLI1,RNAscope LS 2.5 Target Probes,1,Homo sapiens,GLI1,GLI family zinc finger 1,NM_001160045.1,20,1974,3251
311008,RNAscope® LS 2.5 Probe - Mm-Gli1,RNAscope LS 2.5 Target Probes,1,Mus musculus,Gli1,GLI-Kruppel family member GLI1,NM_010296.2,20,25,1205
311018,RNAscope® LS 2.5 Probe - Hs-ASCL2,RNAscope LS 2.5 Target Probes,1,Homo sapiens,ASCL2,achaete-scute family bHLH transcription factor 2,NM_005170.2,11,888,1796
311028,RNAscope® LS 2.5 Probe - Hs-LGR5,RNAscope LS 2.5 Target Probes,1,Homo sapiens,LGR5,leucine rich repeat containing G protein-coupled receptor 5,NM_003667.2,20,560,1589
311048,RNAscope® LS 2.5 Probe - Hs-OLFM4,RNAscope LS 2.5 Target Probes,1,Homo sapiens,OLFM4,olfactomedin 4,NM_006418.4,20,1111,2222
311068,RNAscope® LS 2.5 Probe - Hs-RORGT,RNAscope LS 2.5 Target Probes,1,Homo sapiens,RORC,RAR related orphan receptor C,NM_001001523.1,12,152,744
311078,RNAscope® LS 2.5 Probe - Mm-Gast,RNAscope LS 2.5 Target Probes,1,Mus musculus,Gast,gastrin,NM_010257.3,8,19,390
311088,RNAscope® LS 2.5 Probe - Mm-TNFa,RNAscope LS 2.5 Target Probes,1,Mus musculus,Tnf,tumor necrosis factor,NM_013693,20,41,1587
311098,RNAscope® LS 2.5 Probe - Hs-CDH1,RNAscope LS 2.5 Target Probes,1,Homo sapiens,CDH1,cadherin 1,NM_004360.3,20,263,1255
311108,RNAscope® LS 2.5 Probe - Hs-CCKBR,RNAscope LS 2.5 Target Probes,1,Homo sapiens,CCKBR,cholecystokinin B receptor,NM_176875.3,20,804,2121
311118,RNAscope® LS 2.5 Probe - Hs-CHGA,RNAscope LS 2.5 Target Probes,1,Homo sapiens,CHGA,chromogranin A,NM_001275.3,20,313,2008
311128,RNAscope® 2.5 LS Probe - HPV16/18,RNAscope LS 2.5 Target Probes,1,Human papillomavirus 16/18,HPV16/18,"HPV type 16 and 18, pooled",,,,
311138,RNAscope® LS 2.5 Probe - Hs-DDIT3,RNAscope LS 2.5 Target Probes,1,Homo sapiens,DDIT3,DNA damage inducible transcript 3,NM_001195053.1,13,309,1015
311148,RNAscope® LS 2.5 Probe - Hs-PPP1R15A,RNAscope LS 2.5 Target Probes,1,Homo sapiens,PPP1R15A,protein phosphatase 1 regulatory subunit 15A,,,,
311158,RNAscope® LS 2.5 Probe - Mm-BMP-1,RNAscope LS 2.5 Target Probes,1,Mus musculus,Bmp1,bone morphogenetic protein 1,,,,
311168,RNAscope® LS 2.5 Probe - Rm-NKG2A,RNAscope LS 2.5 Target Probes,1,Macaca mulatta,KLRC1,"killer cell lectin-like receptor subfamily C, member 1",,,,
311178,RNAscope® LS 2.5 Probe - Hs-FGFR2,RNAscope LS 2.5 Target Probes,1,Homo sapiens,FGFR2,fibroblast growth factor receptor 2,NM_000141.4,25,1743,3033
311188,RNAscope® LS 2.5 Probe - Hs-NRG1,RNAscope LS 2.5 Target Probes,1,Homo sapiens,NRG1,neuregulin 1,NM_013956.3,45,442,2977
311198,RNAscope® LS 2.5 Probe - Hs-HES1,RNAscope LS 2.5 Target Probes,1,Homo sapiens,HES1,hes family bHLH transcription factor 1,NM_005524.3,17,63,1431
311208,RNAscope® LS 2.5 Probe - Hs-HEY1,RNAscope LS 2.5 Target Probes,1,Homo sapiens,HEY1,hes related family bHLH transcription factor with YRPW motif 1,NM_001040708,20,324,1625
311218,RNAscope® 2.5 LS Probe - Hs-PDL1,RNAscope LS 2.5 Target Probes,1,Homo sapiens,CD274,CD274 molecule,NM_014143,15,12,746
311228,RNAscope® LS 2.5 Probe - Hs-FLI1,RNAscope LS 2.5 Target Probes,1,Homo sapiens,FLI1,"Fli-1 proto-oncogene, ETS transcription factor",NM_002017,20,1744,2955
311238,RNAscope® LS 2.5 Probe - Hs-XIST,RNAscope LS 2.5 Target Probes,1,Homo sapiens,XIST,X inactive specific transcript (non-protein coding),NR_001564.2,20,2923,3879
311248,RNAscope® LS 2.5 Probe - Hs-AK5737,RNAscope LS 2.5 Target Probes,1,Homo sapiens,,neuroacanthocytosis,,,,
311258,RNAscope® LS 2.5 Probe - Hs-PSMA1,RNAscope LS 2.5 Target Probes,1,Homo sapiens,PSMA1,proteasome subunit alpha 1,NM_148976,20,298,1466
311268,RNAscope® LS 2.5 Probe - Hs-PROM1,RNAscope LS 2.5 Target Probes,1,Homo sapiens,PROM1,prominin 1,NM_006017,20,145,1454
311278,RNAscope® LS 2.5 Probe - Hs-CD44,RNAscope LS 2.5 Target Probes,1,Homo sapiens,CD44,CD44 molecule (Indian blood group),NM_000610,20,157,1435
311288,RNAscope® LS 2.5 Probe - Hs-TLR4,RNAscope LS 2.5 Target Probes,1,Homo sapiens,TLR4,toll like receptor 4,NM_003266.3,20,584,1557
311298,RNAscope® LS 2.5 Probe - Hs-FCER1A,RNAscope LS 2.5 Target Probes,1,Homo sapiens,FCER1A,Fc fragment of IgE receptor Ia,NM_002001.3,20,18,1091
311318,RNAscope® LS 2.5 Probe - Hs-ZAP7,RNAscope LS 2.5 Target Probes,1,Homo sapiens,,neuroacanthocytosis,,,,
311328,RNAscope® LS 2.5 Probe - Hs-CXCL13,RNAscope LS 2.5 Target Probes,1,Homo sapiens,CXCL13,C-X-C motif chemokine ligand 13,NM_006419.2,16,30,1186
311338,RNAscope® LS 2.5 Probe - Hs-MMP9,RNAscope LS 2.5 Target Probes,1,Homo sapiens,MMP9,matrix metallopeptidase 9,NM_004994.2,30,93,1422
311348,RNAscope® LS 2.5 Probe - Hs-LOXL2,RNAscope LS 2.5 Target Probes,1,Homo sapiens,LOXL2,lysyl oxidase like 2,NM_002318.2,20,2303,3489
311368,RNAscope® 2.5 LS Probe - JCV-late,RNAscope LS 2.5 Target Probes,1,,,,NC_001699.1,23,769,2496
311378,RNAscope® 2.5 LS Probe - JCV-early,RNAscope LS 2.5 Target Probes,1,,,,,26,2631,4903
311388,RNAscope® LS 2.5 Probe - Mm-BIRC6,RNAscope LS 2.5 Target Probes,1,Mus musculus,Birc6,baculoviral IAP repeat-containing 6,NM_007566.3,20,1343,2287
311398,RNAscope® LS 2.5 Probe - Mm-Ifng,RNAscope LS 2.5 Target Probes,1,Mus musculus,Ifng,interferon gamma,NM_008337.3,15,13,1149
311408,RNAscope® LS 2.5 Probe - Hs-CDKN1A,RNAscope LS 2.5 Target Probes,1,Homo sapiens,CDKN1A,cyclin dependent kinase inhibitor 1A,NM_078467.2,19,74,1500
311418,RNAscope® LS 2.5 Probe - Hs-ETV1,RNAscope LS 2.5 Target Probes,1,Homo sapiens,ETV1,ETS variant 1,NM_004956,20,21,1076
311428,RNAscope® LS 2.5 Probe - Hs-SYP,RNAscope LS 2.5 Target Probes,1,Homo sapiens,SYP,synaptophysin,NM_003179.2,20,135,1502
311438,RNAscope® LS 2.5 Probe - Hs-SLC18A2,RNAscope LS 2.5 Target Probes,1,Homo sapiens,SLC18A2,solute carrier family 18 member A2,NM_003054.4,20,270,1468
311448,RNAscope® LS 2.5 Probe - Hs-HDC,RNAscope LS 2.5 Target Probes,1,Homo sapiens,HDC,histidine decarboxylase,NM_002112.3,20,504,1544
311478,RNAscope® 2.5 LS Probe - HPV11,RNAscope LS 2.5 Target Probes,1,Human papillomavirus type 11,HPV11,human papillomavirus type 11,,,,
311488,RNAscope® LS 2.5 Probe - Mm-PAX-5,RNAscope LS 2.5 Target Probes,1,Mus musculus,Pax5,paired box 5,NM_008782,20,5,1146
311498,RNAscope® LS 2.5 Probe - Mm-ITGAM,RNAscope LS 2.5 Target Probes,1,Mus musculus,Itgam,integrin alpha M,NM_001082960.1,20,538,1528
311508,RNAscope® LS 2.5 Probe - Mm-ITGAX,RNAscope LS 2.5 Target Probes,1,Mus musculus,Itgax,integrin alpha X,NM_021334.2,20,132,1147
311528,RNAscope® 2.5 LS Probe - HPV16,RNAscope LS 2.5 Target Probes,1,Human papillomavirus type 16,HPV16,human papillomavirus type 16,,,,
311538,RNAscope® 2.5 LS Probe - HPV18,RNAscope LS 2.5 Target Probes,1,Human papillomavirus type 18,HPV18,human papillomavirus type 18,,,,
311548,RNAscope® 2.5 LS Probe - HPV26,RNAscope LS 2.5 Target Probes,1,Human papillomavirus type 26,HPV26,human papillomavirus type 26,,,,
311558,RNAscope® 2.5 LS Probe - HPV31,RNAscope LS 2.5 Target Probes,1,Human papillomavirus type 31,HPV31,human papillomavirus type 31,,,,
311568,RNAscope® 2.5 LS Probe - HPV33,RNAscope LS 2.5 Target Probes,1,Human papillomavirus type 33,HPV33,human papillomavirus type 33,,,,
311578,RNAscope® 2.5 LS Probe - HPV35,RNAscope LS 2.5 Target Probes,1,Human papillomavirus type 35,HPV35,human papillomavirus type 35,,,,
311588,RNAscope® 2.5 LS Probe - HPV39,RNAscope LS 2.5 Target Probes,1,Human papillomavirus type 39,HPV39,human papillomavirus type 39,,,,
311598,RNAscope® 2.5 LS Probe - HPV45,RNAscope LS 2.5 Target Probes,1,Human papillomavirus type 45,HPV45,human papillomavirus type 45,,,,
311608,RNAscope® 2.5 LS Probe - HPV51,RNAscope LS 2.5 Target Probes,1,Human papillomavirus type 51,HPV51,human papillomavirus type 51,,,,
311618,RNAscope® 2.5 LS Probe - HPV52,RNAscope LS 2.5 Target Probes,1,Human papillomavirus type 52,HPV52,human papillomavirus type 52,,,,
311628,RNAscope® 2.5 LS Probe - HPV53,RNAscope LS 2.5 Target Probes,1,Human papillomavirus type 53,HPV53,human papillomavirus type 53,,,,
311638,RNAscope® 2.5 LS Probe - HPV56,RNAscope LS 2.5 Target Probes,1,Human papillomavirus type 56,HPV56,human papillomavirus type 56,,,,
311648,RNAscope® 2.5 LS Probe - HPV58,RNAscope LS 2.5 Target Probes,1,Human papillomavirus type 58,HPV58,human papillomavirus type 58,,,,
311658,RNAscope® 2.5 LS Probe - HPV59,RNAscope LS 2.5 Target Probes,1,Human papillomavirus type 59,HPV59,human papillomavirus type 59,,,,
311668,RNAscope® 2.5 LS Probe - HPV66,RNAscope LS 2.5 Target Probes,1,Human papillomavirus type 66,HPV66,human papillomavirus type 66,,,,
311678,RNAscope® 2.5 LS Probe - HPV68,RNAscope LS 2.5 Target Probes,1,Human papillomavirus type 68,HPV68,human papillomavirus type 68,,,,
311688,RNAscope® 2.5 LS Probe - HPV73,RNAscope LS 2.5 Target Probes,1,Human papillomavirus type 73,HPV73,human papillomavirus type 73,,,,
311698,RNAscope® 2.5 LS Probe - HPV82,RNAscope LS 2.5 Target Probes,1,Human papillomavirus type 82,HPV82,human papillomavirus type 82,,,,
311708,RNAscope® LS 2.5 Probe - HPV HR15,RNAscope LS 2.5 Target Probes,1,,,,,,,
311718,RNAscope® LS 2.5 Probe - Ss- IGFBP3,RNAscope LS 2.5 Target Probes,1,Sus scrofa,IGFBP3,insulin-like growth factor binding protein 3,NM_001005156,20,2,1100
311728,RNAscope® LS 2.5 Probe - Hs-TARM1,RNAscope LS 2.5 Target Probes,1,Homo sapiens,TARM1,"T cell-interacting, activating receptor on myeloid cells 1",NM_001135686.1,14,2,871
311738,RNAscope® LS 2.5 Probe - Hs-CTNNB1,RNAscope LS 2.5 Target Probes,1,Homo sapiens,CTNNB1,catenin beta 1,NM_001098210.1,16,285,2315
311748,RNAscope® LS 2.5 Probe - Mm-CTNNB1,RNAscope LS 2.5 Target Probes,1,Mus musculus,Ctnnb1,"catenin (cadherin associated protein), beta 1",NM_007614.3,16,342,2511
